name,sharpe,ret,maxdd,trades,expo,2024 bull,2025 chop,2026 bear
"as-specified (fade, pyramid, exit on re-entry)",-1.4296680213633437,-0.300764137380783,-0.3706532353367329,61,0.04593886462882096,-0.3303739254344332,-0.02607783022625776,0.07217848006949046
  without pyramiding,-1.0953621581904225,-0.15223736190971415,-0.2223444551453102,61,0.04593886462882096,-0.18370728509096323,-0.024979230006130337,0.06515910722722218
  exit on 50% VI+ retrace instead,-0.9697093281386053,-0.30867558571927245,-0.34845105860798387,84,0.09851528384279476,-0.3319168134428788,-0.013442983033943645,0.0488881099708931
  + 2xATR stop,-0.9300045242432021,-0.18988182383312635,-0.2708536841120588,71,0.044017467248908294,-0.23575999599079966,-0.011329620013825092,0.07217848006949046
  + 5-day time stop,-1.4296680213633437,-0.300764137380783,-0.3706532353367329,61,0.04593886462882096,-0.3303739254344332,-0.02607783022625776,0.07217848006949046
follow instead of fade,0.9505812107451224,0.24404747460734177,-0.13498817310172329,61,0.04593886462882096,0.36770849797222027,-0.0005294070732629885,-0.08993295512789279
  + 2xATR stop,0.9505812107451224,0.24404747460734177,-0.13498817310172329,61,0.04593886462882096,0.36770849797222027,-0.0005294070732629885,-0.08993295512789279
  exit on 50% VI+ retrace,0.45120219719552457,0.14592520864636427,-0.1569552435466508,84,0.09851528384279476,0.2911400372286921,-0.027514267811228788,-0.08735960681647537
fade + trend filter,-1.326079631077255,-0.08554676797739913,-0.09018885385758224,6,0.0055895196506550214,-0.08119443586286379,-0.005693744121530009,0.0009622773297863763
follow + trend filter,0.9313956425324699,0.2380260013984643,-0.13491798205372219,59,0.04506550218340611,0.36770849797222027,-0.005447775005951394,-0.08985910809176634
follow + trend filter + 2xATR stop,0.9313956425324699,0.2380260013984643,-0.13491798205372219,59,0.04506550218340611,0.36770849797222027,-0.005447775005951394,-0.08985910809176634
  q85%/q15% fade,-0.898360496647587,-0.32556386060335796,-0.3366528779774698,84,0.07161572052401746,-0.2835114228462907,0.18358491861275827,-0.20469787998746092
  q85%/q15% follow,0.4703492846402782,0.1719697268747964,-0.27486166822134206,84,0.07161572052401746,0.26047533699848335,-0.22460408489107775,0.19910864022498154
  q85%/q15% follow+trend,0.4703492846402782,0.1719697268747964,-0.27486166822134206,84,0.07161572052401746,0.26047533699848335,-0.22460408489107775,0.19910864022498154
  q80%/q20% fade,-0.9791857229347506,-0.40529760882235855,-0.4234220469629878,118,0.11493449781659389,-0.3257946496152533,0.051243772125017184,-0.1609186773834086
  q80%/q20% follow,0.4970382777502413,0.21633762606336915,-0.2310488258115556,118,0.11493449781659389,0.2778314951253138,-0.1434175760340225,0.11124902847778317
  q80%/q20% follow+trend,0.4991890658474853,0.21748275255514748,-0.22881001263698786,117,0.1137117903930131,0.2753213974244082,-0.140923623127453,0.11124902847778317
  q90%/q10% fade,-0.5064022919482969,-0.15558125514675425,-0.17096642269021967,55,0.03580786026200873,-0.05109093910340701,0.026424803991324852,-0.133025880311331
  q90%/q10% follow,0.15547955045090692,0.029848912401968963,-0.21738276821258418,55,0.03580786026200873,-0.015121315352474629,-0.06090022290187547,0.1134713294103542
  q90%/q10% follow+trend,0.15547955045090692,0.029848912401968963,-0.21738276821258418,55,0.03580786026200873,-0.015121315352474629,-0.06090022290187547,0.1134713294103542
regime-directed,0.25431079666087414,0.05160431265944809,-0.13078866752854146,61,0.04593886462882096,0.15953056531366672,-0.007963116029843897,-0.08579764060639594
  no pyramid,-0.023834179474319563,-0.0076098541027787014,-0.10284844920159186,61,0.04593886462882096,0.07517930931637662,-0.0012359527044334406,-0.0758581360312246
  + 2xATR stop,0.7196837722283665,0.17538364073466628,-0.1307886675285418,62,0.045764192139737994,0.2960133778405911,-0.007963116029843897,-0.08579764060639594
"  q85%/q15% bands, regime-directed",0.4937453291233706,0.18306789442289784,-0.27213497420665445,84,0.07161572052401746,0.26047533699848335,-0.22168841031136688,0.2059292212971786
"  q80%/q20% bands, regime-directed",0.18771422990467446,0.04716249286922669,-0.2257963121983947,118,0.11493449781659389,0.08646006430035014,-0.13756647521813026,0.11756986033227701
