覆盖,启动次数,中位完成格数,满仓时间占比,空仓时间占比,中位已实现,中位实际,实际为正占比,5%分位,95%分位
2.1%  (你的参数),8125,62.0,0.5887097435897437,0.3921018803418803,0.03659999999999597,-0.25945048917463054,0.32246153846153847,-0.691425381029191,0.08207999999999052
4.9%,8125,57.0,0.5631555555555555,0.39213538461538466,0.09853000000000445,-0.16529858261740382,0.3844923076923077,-0.6459485983105426,0.2209800000000095
9.6%,8125,47.0,0.5195630769230769,0.3924526495726496,0.17513000000000378,-0.025958408869286353,0.47286153846153844,-0.5931858174106518,0.4039200000000083
18.3%,8125,91.0,0.4225777777777778,0.3924526495726496,0.16952000000000367,0.0,0.49846153846153846,-0.5749511350739839,0.37770903677587864
26.3%,8125,74.0,0.3440355555555556,0.39335931623931625,0.21172999999999487,0.028193492814480026,0.5641846153846154,-0.5230487915469798,0.4659771753358211
40.1%,8125,49.0,0.21194393162393163,0.3973894017094017,0.2381099999999967,0.06817999999999902,0.6594461538461538,-0.42217549336215004,0.49673999999999285
