symbol,MACD_1d,买入持有,差
1000PEPEUSDT,5.952432973948284,-0.32579460554640993,6.278227579494693
1000BONKUSDT,3.8593630927639646,-0.4997907949790795,4.3591538877430445
1000FLOKIUSDT,2.9731474957009887,-0.5202079886551643,3.4933554843561527
FETUSDT,1.8920926894956094,-0.40665188470066516,2.2987445741962746
WLDUSDT,-0.178904624752244,-0.8709872346853992,0.6920826099331552
WIFUSDT,-0.059157563429238946,-0.6905027932960894,0.6313452298668505
SEIUSDT,-0.2549437393788233,-0.8184684684684684,0.5635247290896451
1000SHIBUSDT,0.13298382952179355,-0.4283063219101818,0.5612901514319754
APTUSDT,-0.42244731208899644,-0.8426793536595979,0.42023204157060146
DOGEUSDT,0.36886329606716983,-0.0024209626886927404,0.3712842587558626
SOLUSDT,6.879651516674356,6.561195826645266,0.31845569002909
RENDERUSDT,-0.5307498812144751,-0.8117910447761194,0.2810411635616443
TAOUSDT,-0.4526704101410982,-0.7142857142857142,0.261615304144616
ENAUSDT,-0.7290152973782716,-0.8632956381260097,0.1342803407477381
PENDLEUSDT,0.8093053820757401,0.7067295103430218,0.10257587173271832
ARBUSDT,-0.8486789140175537,-0.944916820702403,0.09623790668484933
DYDXUSDT,-0.8597473502735311,-0.9001814882032668,0.040434137929735714
TIAUSDT,-0.8296772510521138,-0.8621307072515667,0.032453456199452946
OPUSDT,-0.9042092454762648,-0.9059092891408635,0.0017000436645987493
ETHUSDT,0.34288577406778464,0.5729370453975422,-0.23005127132975756
LDOUSDT,-0.9355177304204599,-0.6894162116757665,-0.24610151874469344
SUIUSDT,-0.8092655045484918,-0.5135424091233072,-0.2957230954251846
BNBUSDT,0.690959975383048,1.4717809109747675,-0.7808209355917195
XRPUSDT,1.1022908816893637,1.9471820596046032,-0.8448911779152395
HYPEUSDT,-0.1718182903761597,0.692185581214245,-0.8640038715904047
BTCUSDT,1.301866637671854,2.8104308390022674,-1.5085642013304135
