对冲掉的主成分数,天数,残差平均相关,残差有效独立赌注,残差1日自相关,残差5日自相关
0,1201,0.5594301158449853,1.7807584579063964,-0.008123135145069684,0.0031593373635809734
1,1201,-0.005433041126417963,207.0,-0.03456576437101133,-0.006413343332082379
3,1201,-0.005242425760775959,207.0,-0.030312854757782212,-0.006396480521034364
5,1201,-0.005163498015097628,207.0,-0.027939752836108184,-0.008528054126531527
