tf,n,mode,band,sharpe_full,ret_full,dd_full,trades,expo,sharpe_is,ret_is,dd_is,sharpe_oos,ret_oos,dd_oos
1d,6,ls,0.0,0.058011375212505406,-0.1964197036796287,-0.5574017038406113,153,0.9926547743966422,-0.07113487025818604,-0.21960816191325494,-0.5317627093048864,0.27073793905566645,0.029713865653025584,-0.2980999399187032
1d,6,ls,0.02,0.1808966127250161,-0.06523852116448714,-0.5074059817655916,141,0.9926547743966422,0.01823582946519104,-0.16483611625170935,-0.5074059817655916,0.4501685629977436,0.11925515102523288,-0.21178012361143705
1d,6,ls,0.04,0.03977900093440642,-0.2144354716769734,-0.5855352082256426,129,0.9926547743966422,-0.2078336745446299,-0.29715604056824085,-0.5855352082256426,0.44715491318731154,0.11769407388539954,-0.2117801236114375
1d,6,ls,0.06,0.061915996048305624,-0.1926823351187642,-0.5963321588872859,119,0.9926547743966422,-0.1583596747847472,-0.27012376918379766,-0.5855352082256426,0.42463829852470547,0.10610214553559727,-0.26249449374153655
1d,6,long_only,0.0,0.45160960326306376,0.27368082320619513,-0.3315286712437461,77,0.5204616998950682,0.9729279273840337,0.5251040348563532,-0.2514218772746414,-0.533940306127109,-0.164856433334294,-0.33152867124374574
1d,6,long_only,0.02,0.5443669593435688,0.37361941361507145,-0.2853888175299064,71,0.5173137460650578,1.0477397315952846,0.5806391833738078,-0.2377623986528805,-0.3716682796448482,-0.13097218640174468,-0.2853888175299063
1d,6,long_only,0.04,0.4350549275221376,0.25735063685657233,-0.3104616627816924,65,0.5152151101783841,0.8725651050015497,0.44699297706867336,-0.3104616627816924,-0.3774111092502459,-0.13105961343107508,-0.28612112740144624
1d,6,long_only,0.06,0.45170590757871876,0.2746303974056117,-0.3104616627816924,60,0.5173137460650578,0.9069644228009851,0.47415718223479053,-0.3104616627816924,-0.3976953398370201,-0.1353497355870149,-0.2627065902527157
1d,8,ls,0.0,0.4908053878182275,0.36948193779580607,-0.5431845822566095,115,0.9905561385099685,-0.0982532516633256,-0.23360482611268352,-0.5431845822566095,1.4635751372616568,0.7869135720799323,-0.1946112786337173
1d,8,ls,0.02,0.8082918809412851,1.0201258442352477,-0.5261362840697872,97,0.9905561385099685,0.25757006025138607,0.003937720324703964,-0.5261362840697872,1.7230267146979703,1.01220235412798,-0.20090432645711076
1d,8,ls,0.04,0.7507323834659365,0.8825663396856618,-0.5134777097407428,93,0.9905561385099685,0.3437047309542942,0.07170340276580678,-0.5134777097407428,1.426844946275723,0.7566113299885133,-0.20090432645711165
1d,8,ls,0.06,0.7451133427615859,0.869541017027214,-0.4680220872456847,89,0.9905561385099685,0.3838750641976904,0.104778115944973,-0.4680220872456847,1.345660206786414,0.6922321233961979,-0.18722567698688342
1d,8,long_only,0.0,0.7333214886699329,0.6113853350658747,-0.35152705124182415,58,0.5267576075550892,0.8811240776280973,0.4639406760989695,-0.35152705124182415,0.47524329106426333,0.10071764612744172,-0.17677692441415416
1d,8,long_only,0.02,0.9576301456090882,0.9511108681796272,-0.3400388575103792,49,0.5288562434417629,1.118348349437385,0.671870769979706,-0.3400388575103792,0.6854826892490373,0.16702253739582273,-0.16134995497156335
1d,8,long_only,0.04,0.9198196117693359,0.8858261890466568,-0.3307226945580697,47,0.5299055613850997,1.1852053902102064,0.729346542930843,-0.3307226945580697,0.4386367516544228,0.09048484050548833,-0.17230901502879914
1d,8,long_only,0.06,0.9203044824835347,0.8817599028762544,-0.2916312593741802,45,0.5183630640083945,1.2180998818385669,0.7571781743012034,-0.2916312593741802,0.37359694825620593,0.07089874572599708,-0.17603358447773543
1d,10,ls,0.0,0.04097773919171565,-0.21164318215782152,-0.5620343717521257,119,0.9884575026232949,0.00455950725308627,-0.17168727558980512,-0.5070616345028682,0.10093797899790008,-0.04823770707671493,-0.3766354421525677
1d,10,ls,0.02,0.41754693185841224,0.25153084699425543,-0.39837171822940776,99,0.9884575026232949,0.5394643507143146,0.24272999024841146,-0.39837171822940776,0.2227456013403702,0.007081873628946855,-0.38656079759509054
1d,10,ls,0.04,0.3047817460688677,0.08958211324012688,-0.5009734619851902,87,0.9884575026232949,0.36569535955341975,0.0891769739766819,-0.5009734619851902,0.2084063093074424,0.0003719682596321494,-0.4050437428375623
1d,10,ls,0.06,0.39413330226230747,0.21575294440744175,-0.45935859033082493,81,0.9884575026232949,0.5189337712551381,0.2232265066288015,-0.45935859033082493,0.19443253864985782,-0.006109712453794658,-0.35120778629277316
1d,10,long_only,0.0,0.40219114594044336,0.2236860446993374,-0.35001995339861225,60,0.5194123819517313,0.9636069400484786,0.5228341142514845,-0.29899373717686273,-0.6870794907763375,-0.19644166541356045,-0.3302692326958053
1d,10,long_only,0.02,0.6909154917485842,0.5451015708740958,-0.32679628018590257,50,0.5152151101783841,1.3585936397996732,0.8686198808433379,-0.25300508708181113,-0.5860864814053136,-0.17313222088980074,-0.326796280185902
1d,10,long_only,0.04,0.5952325204554572,0.43540687353798924,-0.3252318290612195,44,0.5194123819517313,1.2063498157937198,0.7420346520689538,-0.32264476399105646,-0.5966720942574144,-0.1760170374147223,-0.32523182906121906
1d,10,long_only,0.06,0.6616494575408346,0.5162381337277941,-0.34177946598677256,41,0.5183630640083945,1.32127491187579,0.8480502888465313,-0.29319524997943536,-0.5988547715139325,-0.17954714604971045,-0.3417794659867728
1d,12,ls,0.0,0.08480928301624584,-0.16612170595474318,-0.5678489076169478,104,0.9863588667366212,0.23437256315716867,-0.012291278009151974,-0.5229725858949941,-0.15678180768440983,-0.15574472971700315,-0.3424903263743785
1d,12,ls,0.02,0.2839395638823499,0.06356244126110377,-0.4789571644778168,88,0.9863588667366212,0.4080564342777358,0.12560560811861343,-0.4707229886119807,0.08548872183720072,-0.055119809647371065,-0.30436311633186985
1d,12,ls,0.04,0.1659595535662124,-0.07888774258991749,-0.5617483488097754,72,0.9853095487932844,0.35020848021368894,0.07790452411837046,-0.49262693757073694,-0.13088120618278434,-0.1454602547814029,-0.40447010850470055
1d,12,ls,0.06,0.22154380785978126,-0.014141026715076777,-0.5253000846584633,60,0.9853095487932844,0.3591377382910015,0.08515634279485429,-0.3987951456768476,0.0007968390736874821,-0.091505127504658,-0.3728224615156964
1d,12,long_only,0.0,0.4831666096553021,0.30708515931384994,-0.3530787306466583,52,0.5225603357817419,1.2021122931203316,0.7265986108659395,-0.3530787306466583,-0.9111410449533167,-0.242971035023416,-0.3263860767403527
1d,12,long_only,0.02,0.6347879759196726,0.47753707575567916,-0.31870006380544447,44,0.5246589716684156,1.3252704782034221,0.8430990833207155,-0.31870006380544447,-0.7130495585552826,-0.1983409415550269,-0.28667365654568255
1d,12,long_only,0.04,0.5525072257188979,0.38668280460730453,-0.339854837210118,36,0.5320041972717734,1.2898678499737275,0.8218887501738261,-0.334716848032135,-0.8804233191747489,-0.23887624616212122,-0.3337857928488678
1d,12,long_only,0.06,0.5976802816590115,0.43701964947272387,-0.31929741371251186,30,0.5267576075550892,1.3140525852686458,0.8326937969386017,-0.24773779291441378,-0.7584331431134237,-0.21589757553980182,-0.3192974137125122
1d,14,ls,0.0,0.870767317786682,1.1739306043066775,-0.3388415279910427,98,0.9842602308499475,1.1078296460739498,0.9020838997195069,-0.23780685001510404,0.49577164855987543,0.1429204593063751,-0.33884152799104283
1d,14,ls,0.02,0.5693776945949159,0.5068261134202228,-0.39658251017281776,78,0.9842602308499475,0.8389465568062837,0.555691556799353,-0.36304872078782047,0.13877073376670807,-0.031410753092769084,-0.39658251017281776
1d,14,ls,0.04,0.48491401111022364,0.3594653645164978,-0.41121006151182105,62,0.9832109129066107,0.7968763701209425,0.5072754997073723,-0.41121006151182105,-0.01483518389066959,-0.09806444490046484,-0.3572764331505991
1d,14,ls,0.06,0.6055335532830938,0.574460770229902,-0.3921387724193819,54,0.9832109129066107,0.9948045894016013,0.7476485768209686,-0.3921387724193819,-0.017201170723058073,-0.09909761544057338,-0.33345498085739955
1d,14,long_only,0.0,1.0643937885811376,1.1109870485907631,-0.256275329544954,49,0.5236096537250787,1.7842188028377517,1.3921167941833166,-0.16831868375128756,-0.3614921079003861,-0.11752341954044687,-0.24273119224266027
1d,14,long_only,0.02,0.8467943062319984,0.7606747813262837,-0.3209699190122184,39,0.5099685204616999,1.616566507659917,1.1684595867520042,-0.21628522510258652,-0.671773933790717,-0.18805275778116437,-0.32096991901221783
1d,14,long_only,0.04,0.7622107538187991,0.6530682447860241,-0.35444030059474996,31,0.521511017838405,1.556830306122788,1.114524331416375,-0.25927867563072504,-0.7795668810255996,-0.21823162768775228,-0.3544403005947503
1d,14,long_only,0.06,0.8509088162772829,0.7791035563106685,-0.34484135268535976,27,0.5194123819517313,1.6919924208189243,1.2762739384471935,-0.24759236851288813,-0.7852716808492258,-0.21841412570741836,-0.34484135268536
1d,16,ls,0.0,-0.2304285294696809,-0.43163858432113555,-0.6848230320043402,102,0.9821615949632738,0.08876675697645946,-0.11395692155884762,-0.4915288471213185,-0.7498154366547095,-0.35853974879099315,-0.48378168536893096
1d,16,ls,0.02,-0.1330994783714633,-0.3603123216357965,-0.64163547788189,84,0.9821615949632738,0.227574925102342,-0.016684800907857067,-0.41144066432306936,-0.7183177642618941,-0.34945816056255197,-0.46998869109339414
1d,16,ls,0.04,-0.13253478951566602,-0.3592948900874706,-0.653299256981419,69,0.9811122770199371,0.2771699554094062,0.020910865866547557,-0.4749627577696698,-0.796738152663432,-0.37241816956399965,-0.5187464798423918
1d,16,ls,0.06,-0.11807014240591111,-0.3479136650859974,-0.6486608442084079,61,0.9811122770199371,0.2738218699435566,0.01834425627369307,-0.44929975845781756,-0.7531768061515621,-0.3596602220745021,-0.5110787558938839
1d,16,long_only,0.0,0.24573321957684416,0.07642991175387848,-0.4308087806826817,51,0.5089192025183631,1.0818821459687225,0.630186031856883,-0.26778095296338,-1.440589723698417,-0.33968891235820575,-0.41926219069990056
1d,16,long_only,0.02,0.31415122054921807,0.1387585363253412,-0.44245629504556483,42,0.5152151101783841,1.1728779248121404,0.7158172446783588,-0.24818985063700938,-1.3704655996487776,-0.3363171166059655,-0.4156722381355026
1d,16,long_only,0.04,0.33616508203990875,0.15979567973043007,-0.46477692934134174,34,0.5089192025183631,1.2400936711713118,0.7783744915881636,-0.2931521997039066,-1.4479697212277058,-0.34783383071656493,-0.43906514198420243
1d,16,long_only,0.06,0.34653299866441045,0.16982607863825105,-0.4796226468824646,30,0.5110178384050367,1.2366014405769687,0.7757945828227157,-0.2571227057859141,-1.4106326454335196,-0.34123795063123075,-0.43461307823838247
1d,18,ls,0.0,0.13740226593811067,-0.10943592261603774,-0.4820029878375194,101,0.9800629590766002,0.5538556207802734,0.2562253923876423,-0.36271333224801605,-0.5332614845758662,-0.2910793852914304,-0.40227946186113206
1d,18,ls,0.02,-0.0636540878007922,-0.30290748681801694,-0.6122972687742619,83,0.9800629590766002,0.16782164494402105,-0.05932662280822132,-0.42622272842235087,-0.43800485211265194,-0.258943082600005,-0.4029189381094612
1d,18,ls,0.04,0.1312262791711902,-0.1162463247939729,-0.5334242507893319,59,0.9800629590766002,0.5259854216451094,0.23024981991113314,-0.40172456411664936,-0.5048774101833678,-0.2816469786032041,-0.4216234348489196
1d,18,ls,0.06,-0.13224554351602297,-0.35915077855632793,-0.6491585654882028,51,0.9800629590766002,0.2880903084507554,0.02920740325267901,-0.5037598594729884,-0.8124227690261507,-0.3773371436910099,-0.5083589464524529
1d,18,long_only,0.0,0.5332078329341625,0.36411001587173497,-0.3924376993083022,50,0.5005246589716684,1.4125598023365888,0.9610070359018497,-0.21795172473795588,-1.2929426062941765,-0.30438290587550443,-0.3916516844082234
1d,18,long_only,0.02,0.385575536361984,0.207777875990238,-0.3975014156594401,41,0.49842602308499473,1.1645104929710164,0.7020707389061722,-0.2547450782217281,-1.1632739980036597,-0.29040676842467217,-0.37442224862722695
1d,18,long_only,0.04,0.5329944097255391,0.3618623693169407,-0.3884307007231872,29,0.4910807974816369,1.4122715245858795,0.9459108683548139,-0.2219294139338044,-1.2562925708845236,-0.30014144457277236,-0.38843070072318675
1d,18,long_only,0.06,0.33038804025556967,0.15426940676038425,-0.43114586328582105,25,0.5026232948583421,1.2284402542353563,0.7748211094062589,-0.29585366948915337,-1.4854981205778097,-0.3496418311440248,-0.4311458632858206
1d,20,ls,0.0,0.3980487577053577,0.2233397747789676,-0.48791248497822237,84,0.9779643231899265,0.6112563388404718,0.31132112802901224,-0.48791248497822237,0.057423671613337085,-0.06709367474486261,-0.38571581695192214
1d,20,ls,0.02,0.32527814392683463,0.11953128176148775,-0.4691849139397799,64,0.9779643231899265,0.7936942933344093,0.5028780573302802,-0.4691849139397799,-0.42689471262062767,-0.2550751031988384,-0.3934801876465709
1d,20,ls,0.04,0.04684168998913986,-0.20247822389853987,-0.5704082170008204,56,0.9779643231899265,0.4680723606357532,0.17784627090583172,-0.5358881827041893,-0.6330040435100477,-0.32289824589067906,-0.4419572727773864
1d,20,ls,0.06,-0.057613487130445125,-0.29779773526959297,-0.5975211876782509,48,0.9779643231899265,0.23314760210605917,-0.012161834453289666,-0.5611668251668731,-0.5275360441287064,-0.28915252596888674,-0.3980342451117782
1d,20,long_only,0.0,0.731341147361583,0.6025911682460872,-0.33464212118433223,42,0.4994753410283316,1.4706380676429718,1.010043057786639,-0.28969253066800205,-0.7504475006028801,-0.20270804048805802,-0.334642121184333
1d,20,long_only,0.02,0.6812322759142292,0.5354299441896242,-0.3820631860406807,32,0.4994753410283316,1.5843750350577661,1.1482537973584956,-0.2774757318403648,-1.247613712734057,-0.2852660397586174,-0.38206318604068024
1d,20,long_only,0.04,0.4652635715593424,0.2904783732848679,-0.3918012728484097,28,0.5078698845750262,1.3390064549842542,0.8960501036738349,-0.31902583334720913,-1.4121883861114677,-0.31938593247910296,-0.3918012728484097
1d,20,long_only,0.06,0.38995015899242735,0.2121963704712182,-0.3683740150988031,24,0.49737670514165794,1.1865488361124812,0.738504367983249,-0.33715640019742654,-1.3105011014903423,-0.302736080049413,-0.3683740150988033
1d,22,ls,0.0,-0.1614556147816033,-0.3804735247814177,-0.6382737899520532,78,0.9758656873032528,0.0010968399912868608,-0.1691326545342865,-0.6227822277251743,-0.42450307389206576,-0.2543617478776603,-0.33631069341202546
