规则,周期,正向零成本,反向零成本,正向6.5bp,反向6.5bp,年化成本,恒等式残差
MACD 金叉多/死叉空,1d,0.07426552903120953,-0.2970077242025241,0.03720945629356631,-0.32137157009073536,0.03515328076323987,4.8138576458356397e-17
14日动量 顺势,1d,0.3003431164065329,-0.4202847092532831,0.22632966251616682,-0.45337240143888813,0.058638074376947034,4.8138576458356397e-17
MACD 金叉多/死叉空,4h,0.22284058066469514,-0.39168806951341995,-0.01821114179804373,-0.5116337492519977,0.21951625486381318,1.8214596497756474e-17
14日动量 顺势,4h,0.1706037521468602,-0.36338841617297524,-0.18161251662753308,-0.5549244723958121,0.3577951556420233,8.023096076392733e-18
MACD 金叉多/死叉空,1h,0.02268704181819925,-0.2789706433381762,-0.5731787184078407,-0.6990553863587372,0.8735627614045325,8.239936510889834e-18
14日动量 顺势,1h,0.09542593994786785,-0.3317993427735907,-0.7475139657198353,-0.8460148248165709,1.4671931378270595,1.1709383462843448e-17
