time,side,entry,h3,h6,h12,h30,symbol,mode
2024-02-08 00:00:00,1,44523.5,0.01982997742765069,0.03420665491257435,0.06386290385975957,0.11882264422159095,BTCUSDT,fixed
2024-02-12 16:00:00,1,49545.9,0.009564868132378335,-0.010109817361275142,0.04362823159938567,0.03799103457601927,BTCUSDT,fixed
2024-02-14 12:00:00,1,51616.5,0.014789844332723012,0.006821462129357858,0.005670667325370804,0.01048114459523597,BTCUSDT,fixed
2024-02-15 20:00:00,1,51898.4,0.0066052132628364735,0.004822884713208797,-0.0042178564271730945,0.007686171442665035,BTCUSDT,fixed
2024-02-26 16:00:00,1,54531.2,0.02877068540578609,0.052437870430139144,0.11922715803063211,0.14036184789625028,BTCUSDT,fixed
2024-02-28 00:00:00,1,56963.3,0.0708649253115603,0.08207565221818247,0.07408454215257887,0.1151741559916648,BTCUSDT,fixed
2024-03-04 12:00:00,1,66505.4,0.025536272242554725,0.005028163126603369,0.0005398057902066267,0.027608284440060693,BTCUSDT,fixed
2024-03-05 08:00:00,1,66749.1,-0.04496839657763185,0.009510240587513374,0.003384315294138629,0.04330395466006287,BTCUSDT,fixed
2024-03-08 00:00:00,1,67220.0,0.006929485272240354,0.016024992561737506,0.02957453138946753,0.07313002082713482,BTCUSDT,fixed
2024-03-11 08:00:00,1,71558.6,0.008319055990474666,0.007547660239300313,0.022236321001249282,-0.04553750352857666,BTCUSDT,fixed
2024-03-13 08:00:00,1,73149.8,-0.000303486817462173,-0.002876289477209859,-0.07288468321171071,-0.06619566970791435,BTCUSDT,fixed
2024-05-17 00:00:00,1,65545.1,0.024789038387308615,0.020961139734320344,0.02422759290930987,0.06799592952028433,BTCUSDT,fixed
2024-05-22 00:00:00,1,70001.9,0.006911240980602029,-0.007409798876887641,-0.029943472962876583,-0.01573385865240795,BTCUSDT,fixed
2024-05-26 04:00:00,1,69359.2,-0.006252955628092582,-0.010066436752442343,-0.02374739039665963,-0.01633525184834883,BTCUSDT,fixed
2024-05-26 12:00:00,1,68864.7,0.0005198599572786566,0.02260519540490269,-0.006750918830692565,-0.02340967142817718,BTCUSDT,fixed
