策略,币数,Sharpe,年化,波动,回撤,年换手,年化成本
残差(对冲1个PC) 全部,98,-1.977473706455486,-0.2228290997415724,0.1235706810109737,-0.6189754319702843,439.3473762670761,0.2855757945735994
残差(对冲1个PC) 样本外,79,-1.4353103942010892,-0.1905504611664246,0.14037509887060357,-0.5837589925088815,440.29351571102853,0.2861907852121685
残差(对冲3个PC) 全部,98,-2.1210371730614783,-0.22270696065817364,0.1155857823908334,-0.6144818652795145,439.4734877759435,0.2856577670543633
残差(对冲3个PC) 样本外,79,-1.3782944550197995,-0.1767722734425664,0.13452844371498518,-0.5502382851191779,440.66891089956283,0.2864347920847159
残差(对冲5个PC) 全部,98,-2.153569264965306,-0.2178217418546241,0.1111651412694435,-0.6030484426280525,439.6367443023555,0.28576388379653106
残差(对冲5个PC) 样本外,79,-1.3564035305892668,-0.16998507874563817,0.13099382316212047,-0.5337133526041826,440.85542747366907,0.2865560278578848
对照:原始收益(不对冲),112,-2.0843978308490603,-0.26270597536912765,0.14135707560368493,-0.6829183178183871,471.0697841194437,0.3061953596776384
