规则,周期,笔数,正向胜率,正向净期望R,正向毛期望R,反向胜率,反向净期望R,反向毛期望R,正向成本R,反向成本R,正向止损,反向止损
六均线A 密集突破,1d,69,0.30434782608695654,0.031143608546222994,0.04215794258670234,0.6666666666666666,-0.05707199229441302,-0.05340054761425324,0.011014334040479346,0.003671444680159782,0.11802801651214707,0.35408404953644124
六均线B 回踩MA20,1d,50,0.32,0.2509469801988156,0.2968921031311177,0.64,-0.1745241978038722,-0.1592091568264382,0.045945122932302074,0.015315040977434025,0.02829462447876105,0.08488387343628315
六均线A 密集突破,4h,472,0.3072033898305085,0.07186891163969283,0.10219198105428323,0.6885593220338984,-0.05067078734314903,-0.04056309753828557,0.03032306941459039,0.010107689804863464,0.04287164937776668,0.12861494813330004
六均线B 回踩MA20,4h,268,0.29850746268656714,0.09264346054672887,0.1778294987012249,0.6940298507462687,-0.10130875023067441,-0.07291340417917574,0.085186038154496,0.02839534605149867,0.015260716757859782,0.04578215027357935
