strategy,sharpe,total,vol
动量 top/bottom 5,0.21066995352726628,0.06142858198476042,0.32047731746898633
动量 全截面 rank 加权,0.6091286682367445,0.4337259092375003,0.19436444776820466
资金费率(负) top/bottom 5,-0.1787617322539271,-0.21245555323248033,0.22625016360937286
资金费率(负) 全截面 rank 加权,-0.35010884909042156,-0.19660654180668913,0.1434164783013497
combo,0.1034591818569714,0.009351140684038972,0.1790392689439387
