family,label,sharpe,ret,maxdd,calmar,expo,trades,sharpe_is,sharpe_oos,ret_oos
VI,VI(8),0.7333214886699329,0.6113853350658747,-0.35152705124182415,0.5703326537326908,0.5267576075550892,58,0.8811240776280973,0.47524329106426333,0.10071764612744172
VI,VI(10),0.40219114594044336,0.2236860446993374,-0.35001995339861225,0.22965235809689125,0.5194123819517313,60,0.9636069400484786,-0.6870794907763375,-0.19644166541356045
VI,VI(12),0.4831666096553021,0.30708515931384994,-0.3530787306466583,0.3059151030687752,0.5225603357817419,52,1.2021122931203316,-0.9111410449533167,-0.242971035023416
VI,VI(14),1.0643937885811376,1.1109870485907631,-0.256275329544954,1.29277874869413,0.5236096537250787,49,1.7842188028377517,-0.3614921079003861,-0.11752341954044687
VI,VI(16),0.24573321957684416,0.07642991175387848,-0.4308087806826817,0.06640907526466275,0.5089192025183631,51,1.0818821459687225,-1.440589723698417,-0.33968891235820575
VI,VI(18),0.5332078329341625,0.36411001587173497,-0.3924376993083022,0.32179075430695175,0.5005246589716684,50,1.4125598023365888,-1.2929426062941765,-0.30438290587550443
VI,VI(20),0.731341147361583,0.6025911682460872,-0.33464212118433223,0.5915986204966684,0.4994753410283316,42,1.4706380676429718,-0.7504475006028801,-0.20270804048805802
VI,VI(22),0.3345878940778261,0.15816667723867006,-0.38989149414614444,0.14837645410041025,0.5015739769150053,39,1.0484621657310185,-1.2281994653370167,-0.2854540838582005
VI,VI(24),0.34129031427704193,0.16466944241059367,-0.4285675127964662,0.1402850886965707,0.5005246589716684,40,0.8467244364394775,-0.7211892278405488,-0.19431705207997285
VI,VI(26),0.16634558548085063,0.00798871415691016,-0.4157624279916473,0.007341157740063858,0.5099685204616999,43,0.6389404646172502,-0.8603216700183223,-0.21658763373614354
VI,VI(28),0.44595066489476937,0.2689155133733965,-0.3425717748832293,0.2787917618749621,0.5204616998950682,42,0.9441237116734703,-0.5774107833058886,-0.16385307644490033
VI,VI(30),0.7344004397200643,0.6186647803159655,-0.3353477396950263,0.6040343787714891,0.5288562434417629,41,1.3395840166117705,-0.5096386082893956,-0.1500562852086731
VI,VI(32),0.6133482825897466,0.45980211679703653,-0.36163040798879953,0.43113629514354257,0.5383001049317944,35,1.298380433075369,-0.826640502452642,-0.21323653079771243
VI,VI(34),0.8278643358423439,0.745851278306852,-0.3398585209643876,0.7000262301677707,0.5424973767051416,31,1.4512815936727748,-0.45034912103510555,-0.13556942624829116
VI,VI(36),0.8586299778311124,0.8012926327479992,-0.36180632166234894,0.6987745736718163,0.5414480587618048,34,1.5800689632799627,-0.622778672669711,-0.17587401058930163
VI,VI(38),0.6520988525192619,0.5050828845464774,-0.37688888654904207,0.44977468427600326,0.534102833158447,29,1.2132946792953805,-0.5282608110187822,-0.14874435335701275
VI,VI(40),0.7223218878353856,0.5902749673159735,-0.34566300171285047,0.5625110790955141,0.521511017838405,31,1.2499556697204586,-0.40508822362981467,-0.11759772568191273
VI,VI(42),0.4858380525442311,0.3138113307062349,-0.33206660795507814,0.3318383559188644,0.5131164742917104,29,1.0879963034735975,-0.850236375140237,-0.20945074814429265
VI,VI(44),0.5791355632828105,0.41351317096643925,-0.33336592912137075,0.42516097437107014,0.5036726128016789,33,1.0578569995196638,-0.42297879468127336,-0.12471409548993118
VI,VI(46),0.5375021254732771,0.3654401617413514,-0.3026376995650445,0.41866338576109663,0.5005246589716684,29,1.08597126214753,-0.6641093191580782,-0.16893157495026667
VI,VI(48),0.2828318918158713,0.11056226968174121,-0.3644869039614379,0.11243595868044771,0.4994753410283316,30,1.0722950625712193,-1.4832687200835182,-0.3138587096716754
VI,VI(50),0.09921301278497481,-0.04142299434348917,-0.3996259545763121,-0.04021871495253049,0.49527806925498424,27,0.786272342920632,-1.4146187598176196,-0.3085971096439418
VI,VI(52),0.486612038346795,0.3087090649386486,-0.4053589555260232,0.267760572177339,0.4858342077649528,25,0.9767771274555744,-0.6076089012264784,-0.1536247493913342
VI,VI(54),0.4817542900768617,0.3064046058026726,-0.37431902416697793,0.287965930952319,0.48898216159496327,25,0.9933216310469932,-0.6269842173393533,-0.16524865469651184
VI,VI(56),0.334645499964497,0.15761171267638363,-0.3649683997210972,0.15797681978465225,0.48898216159496327,25,0.8268818916970204,-0.7860261150673786,-0.1882248831071769
