策略,期末,总收益,年化,回撤,笔数,多/空,胜率,每笔,p
① RSI 原版（双向，无滤网）,714.7963516113066,-0.2852036483886934,-0.08860919414634605,-0.4616912265935541,12,2/10,0.5833333333333334,-0.023536571099284875,0.35485032314415194
② RSI + 周线MACD滤网,876.7347294967008,-0.12326527050329927,-0.0357000114904692,-0.26365231386087273,5,1/4,0.6,-0.021913292860246045,0.6175177875185103
③ 对照：RSI 只做多（无MACD）,1070.0663546820788,0.07006635468207878,0.018890178116454548,-0.032938941224487706,2,2/0,1.0,0.034876349851289505,0.1751539422948123
④ RSI放宽 + MACD滤网,765.2690134677373,-0.23473098653226265,-0.07126221323407889,-0.5582127426783445,40,17/23,0.725,-0.002192614944337342,0.8646029153008523
⑤ 对照：RSI放宽 只做多,1533.5235863334822,0.5335235863334822,0.1254179315627919,-0.32757690551390284,37,37/0,0.8108108108108109,0.012807512100918255,0.05688381511399538
⑥ 对照：只用MACD（多空，无RSI）,1998.598660286896,0.9985986602868959,0.21088449656757113,-0.4375217247034098,0,,,,
⑦ 对照：只用MACD（只做多，无RSI）,3273.7121737726497,2.27371217377265,0.3877992465928768,-0.3297193168863535,0,,,,
⑧ 对照：买入持有,3826.004907723938,2.826004907723938,0.44889295983264144,-0.5344810393969877,0,,,,
