规则,赔率,打平需胜率,笔数,胜率,平均盈利R,平均亏损R,实际赔率,期望R,止损宽度,中位持仓,触目标,超时,panel
A 密集突破,1:1,0.5,187,0.4919786096256685,0.94773532057572,-0.9811911836459336,0.9659028091284947,-0.03220060402886347,0.1578143479614068,8.0,0.45989304812834225,0.053475935828877004,ins
A 密集突破,1:1.5,0.4,187,0.43315508021390375,1.3776938765535331,-0.98431031019466,1.399654013865888,0.038803802781830016,0.1578143479614068,11.0,0.37967914438502676,0.0748663101604278,ins
A 密集突破,1:2,0.3333333333333333,187,0.37967914438502676,1.7550465683595717,-0.9863910481992384,1.7792604378999541,0.054475640440737536,0.1578143479614068,14.0,0.3155080213903743,0.0855614973262032,ins
A 密集突破,1:3,0.25,187,0.35294117647058826,2.4377111121445942,-0.9834365009730683,2.4787681865911866,0.22402736248022442,0.1578143479614068,17.0,0.25133689839572193,0.12834224598930483,ins
A 密集突破,1:5,0.16666666666666666,187,0.31016042780748665,3.052925119369518,-0.9851727809797037,3.098872784866773,0.26728539132112433,0.1578143479614068,20.0,0.12834224598930483,0.20855614973262032,ins
B 回踩20均线,1:1,0.5,145,0.5586206896551724,0.9666107606546872,-1.0460411265099392,0.9240657333232516,0.0782678587337488,0.0480068141655914,0.0,0.5586206896551724,0.0,ins
B 回踩20均线,1:1.5,0.4,145,0.503448275862069,1.4557424873271296,-1.0441401951302995,1.3942021331201273,0.2144214312103372,0.0480068141655914,1.0,0.496551724137931,0.006896551724137931,ins
B 回踩20均线,1:2,0.3333333333333333,145,0.4482758620689655,1.9473090448704002,-1.043549754888464,1.8660433158537144,0.2971800518999924,0.0480068141655914,2.0,0.4413793103448276,0.006896551724137931,ins
B 回踩20均线,1:3,0.25,145,0.36551724137931035,2.8952739474089064,-1.0412655241984579,2.78053376408253,0.3976075240442341,0.0480068141655914,2.0,0.35172413793103446,0.013793103448275862,ins
B 回踩20均线,1:5,0.16666666666666666,145,0.30344827586206896,4.738793042271521,-1.0405509731358755,4.554119081730682,0.713181003953265,0.0480068141655914,4.0,0.2689655172413793,0.034482758620689655,ins
A 密集突破,1:1,0.5,1309,0.48663101604278075,0.9549995188733226,-0.9955799915091086,0.9592393650114706,-0.04636750249947636,0.15614351448824781,8.0,0.45989304812834225,0.0374331550802139,oos
A 密集突破,1:1.5,0.4,1309,0.39572192513368987,1.4044174327530679,-0.9964472099692476,1.4094248232140778,-0.04637243156576455,0.15614351448824781,11.0,0.36363636363636365,0.04354469060351413,oos
A 密集突破,1:2,0.3333333333333333,1309,0.3582887700534759,1.8220616136157697,-0.9960480951832743,1.8292907967265453,0.013648966258094378,0.15614351448824781,13.0,0.3116883116883117,0.059587471352177235,oos
A 密集突破,1:3,0.25,1309,0.3147440794499618,2.4736187897062463,-0.995839314176167,2.4839537408227446,0.0961520829205132,0.15614351448824781,16.0,0.2215431627196333,0.10695187165775401,oos
A 密集突破,1:5,0.16666666666666666,1309,0.27883880825057294,3.169922100940867,-0.9950651351354907,3.185642817753073,0.16629494215088864,0.15614351448824781,18.0,0.11611917494270435,0.1779984721161192,oos
B 回踩20均线,1:1,0.5,989,0.49342770475227504,0.9679507726612268,-1.0381189375867141,0.9324083567065973,-0.048268564886011237,0.05617977622471908,1.0,0.4903943377148635,0.005055611729019211,oos
B 回踩20均线,1:1.5,0.4,989,0.4206268958543984,1.4545553001278841,-1.0360624849547844,1.4039262315258558,0.011558342744295586,0.05617977622471908,1.0,0.41253791708796766,0.010111223458038422,oos
B 回踩20均线,1:2,0.3333333333333333,989,0.3690596562184024,1.9325329337385426,-1.0352170029678518,1.8667901784825656,0.060059768415195704,0.05617977622471908,2.0,0.35591506572295245,0.015166835187057633,oos
B 回踩20均线,1:3,0.25,989,0.3083923154701719,2.825973506472521,-1.035184146415792,2.7299234790806395,0.1555672025538091,0.05617977622471908,2.0,0.2810920121334681,0.029322548028311426,oos
B 回踩20均线,1:5,0.16666666666666666,989,0.243680485338726,4.360042059327635,-1.0343632113902679,4.215194441677199,0.2801480830920521,0.05617977622471908,3.0,0.18503538928210314,0.06066734074823053,oos
