期间,币数,天数,PC1,PC2,PC3,PC1-3合计,平均相关,有效独立赌注
全样本,143,1060,0.5795248083977268,0.01495879603340727,0.013487953166782663,0.6079715575979167,0.569456722809654,1.7468240098718077
2023,119,296,0.5412712808042058,0.018206919516065154,0.01730268208757558,0.5767808824078465,0.526751135477636,1.8842042789313087
2024,189,293,0.64256695900677,0.02052622739945172,0.014645302306784907,0.6777384887130067,0.6324617436529418,1.576276681565378
2025,206,365,0.6823887533081922,0.016128695504265097,0.011024344148073397,0.7095417929605307,0.6693872123881857,1.4903304480476693
2026,207,226,0.501353714721518,0.019440080809072818,0.017107176249922265,0.5379009717805131,0.4731054756248252,2.102382408011033
