name,sharpe,ret,cagr,vol,maxdd,beta,alpha,t,boot_p5,boot_p95
momentum 1d (long winners),-0.5095282254708839,-0.44500270540282805,-0.1503521882424701,0.2555646282463595,-0.5213515989344347,-0.009291043807246217,-0.12479831511726995,-0.968599437339761,-1.4138283250546586,0.29365449047585956
momentum 3d (long winners),0.5825418276105202,0.5115853277219391,0.12112352998431075,0.24953662040807573,-0.31231237533871137,-0.00232153837908684,0.1467195749344045,1.1073963290825954,-0.21382613927615396,1.3860008643976374
momentum 7d (long winners),0.47770915709816875,0.37275517991226526,0.09162989213077766,0.2472565811890851,-0.2315083827051826,-0.021899549641541134,0.1308898223437745,0.9081122451061906,-0.37791478264787237,1.3370815430213445
momentum 14d (long winners),0.904133158794525,0.9865819628575754,0.20918696189632335,0.24263945441907137,-0.2540892499142404,-0.017821440287769157,0.22977287548241634,1.7187327906697887,0.09816029033850181,1.7300822935497842
momentum 30d (long winners),0.21871962904336606,0.08907595487766118,0.023893802448287094,0.24394858972618713,-0.40651190145580507,-0.04789741308962716,0.08129289842153374,0.4157801256854445,-0.6211680920666347,1.0547534888709142
momentum 60d (long winners),0.22076610913851719,0.09178612830509714,0.024598254503720884,0.23366572233864913,-0.36664864919071916,-0.04119245596918809,0.07561130528961875,0.4196704292439147,-0.606115984496344,1.0387275355232777
momentum 90d (long winners),0.17876650858278895,0.054405420460452714,0.014768042023950656,0.2312963006233848,-0.4013015822596089,-0.03419269881581453,0.06129120009706349,0.3398303194459194,-0.7998014855121504,1.1426831914071676
reversal 1d (long losers),-1.6427730982933748,-0.8048429309728836,-0.36374422130530637,0.2552323651090527,-0.8152512962687342,0.00977731582023412,-0.4249915617036014,-3.1228674274390795,-2.413632779087246,-0.7847169296766426
reversal 3d (long losers),-1.8324814566402958,-0.8293309398746519,-0.38691852125669846,0.24972791511119735,-0.8364648430575501,0.0017323007476390889,-0.45863215206110347,-3.4834979086723075,-2.6014202491010883,-1.0744166568170477
reversal 7d (long losers),-1.3182778856990018,-0.7253322077190749,-0.3006345267477163,0.2477378693921855,-0.7346134160017277,0.021904760789457068,-0.3393634834710147,-2.506010765479111,-2.1399135011408577,-0.4992489529231857
reversal 14d (long losers),-1.5061235750586968,-0.7605466734398634,-0.3266900599341307,0.24287081725355922,-0.7807923966048482,0.018051736235074323,-0.37632228464257933,-2.8631003631208363,-2.3082993105534304,-0.7239464811939403
"VI(7) spread, long high VI",0.3540522454966363,0.2268063280020456,0.058196990706226526,0.24263509941716935,-0.29850484896013063,0.003778621701235247,0.0837015901326065,0.6730437856705491,-0.4338152906459892,1.238044068430775
"VI(7) spread, long low VI",-1.153436076792947,-0.6736778056662028,-0.26647662102831593,0.24289712369934943,-0.7165353961025773,-0.003994141744235541,-0.27783668996445604,-2.192650925189759,-2.0255311422080253,-0.386837025434107
"VI(14) spread, long high VI",1.1334021845978206,1.3298107873740408,0.2637079882098423,0.2298051590038777,-0.24004734168679864,-0.014633648602719748,0.2689968630878336,2.1545670355485287,0.2607693878325253,2.0385170153869074
"VI(14) spread, long low VI",-1.7184091308732197,-0.7819966036297998,-0.34395084043826407,0.22976215888894275,-0.8120287686805596,0.014732480277979382,-0.40341822997840876,-3.266649488838612,-2.5950831127156335,-0.8661016976736733
"VI(30) spread, long high VI",0.6252726677787989,0.5620500465157976,0.13135836696911252,0.24554615801976892,-0.34106941828850856,-0.02883863699158302,0.1703536694349581,1.1886265056950882,-0.18528698464037213,1.4500679429619765
"VI(30) spread, long low VI",-0.9744722056051054,-0.6228791442059087,-0.23651296126216614,0.2457860702767687,-0.648974619380098,0.028707617732207303,-0.25625564411457075,-1.8524454247457127,-1.7913833008249533,-0.18433440714726543
long low-vol / short high-vol (14d),-0.6599844221983164,-0.5451552571142524,-0.19587741579712603,0.2733024501544942,-0.6437170291975985,-0.2833278610528396,-0.015122094365180997,-1.2546126162167357,-1.5588546556733833,0.28173719831236327
long low-vol / short high-vol (30d),-0.9132847236896144,-0.6415227642721205,-0.24714996631083608,0.2704280212814749,-0.7051056085899373,-0.26898598225346576,-0.09008953215318341,-1.7361296691252852,-1.8256944736454412,0.030766720869348698
long low-vol / short high-vol (60d),-1.0270716673708566,-0.6754621416162527,-0.26758874368394303,0.2679098124664773,-0.7393122714118051,-0.2594681885000635,-0.1238256593994498,-1.9524355852978532,-1.9870560532356427,-0.08202317476620152
"momentum 30d, rebalance every 1d",0.21871962904336606,0.08907595487766118,0.023893802448287094,0.24394858972618713,-0.40651190145580507,-0.04789741308962716,0.08129289842153374,0.4157801256854445,-0.6211680920666347,1.0547534888709142
"momentum 30d, rebalance every 3d",0.0075705097579689745,-0.09611531393481398,-0.027576631403036345,0.24416299518881376,-0.44049012418325717,-0.055161403528052044,0.03402177285142833,0.014391335210463109,-0.8101582761535499,0.840159054732444
"momentum 30d, rebalance every 7d",-0.36870796861285254,-0.35457212084797174,-0.1141092844042042,0.24621814586361337,-0.6138782687663644,-0.05519392473236493,-0.05859028962787357,-0.7009039207024318,-1.2795507136417263,0.572557819355431
"momentum 30d, rebalance every 14d",-0.3425932723454199,-0.34097598349164626,-0.10898403874550833,0.24737256074048505,-0.618849935371607,-0.04793409478253314,-0.05679022680766937,-0.6512605862481771,-1.324775311163321,0.6738055254274203
long-only top-2 by 14d momentum,0.8699440352777252,2.52562620388598,0.4172088034818322,0.621842152454183,-0.5894444655344517,0.948663638754558,-0.012347864566968276,1.6537401874221318,-0.03589390390371898,1.7702309406736703
long-only top-2 by 30d momentum,0.6459474919345262,1.1280892995063043,0.23243187539516752,0.611557727718237,-0.6117275681567733,0.9288690877681871,-0.1467362237107351,1.2279287897360347,-0.2864342707368006,1.5312567932824321
long-only top-2 by 60d momentum,0.671455092993577,1.2499705396557994,0.251572638923788,0.6110878199681383,-0.5455405540525575,0.9228211589103921,-0.1279248717238449,1.2764180525454711,-0.1735455965409271,1.5199357923676702
long-only top-2 by 90d momentum,0.8813443833224316,2.5350508198658033,0.4182561488294372,0.5969856370383115,-0.6229012063830277,0.8799151710909764,0.012932301653216025,1.675411942095536,-0.040213212117558246,1.7344420742556736
rank-weighted momentum 14d,1.0709171657030505,1.5499060010535382,0.2956727246195545,0.27784370530077257,-0.2722713687782362,-0.02847351881457882,0.31415500340801045,2.0357846970672684,0.24952645821467728,1.9184431598302778
rank-weighted momentum 30d,0.1482631354041455,0.00943794818509791,0.002602848175998318,0.27850918062973323,-0.4592777405058399,-0.050966233654828934,0.07101911213193224,0.2818442283505849,-0.7098685825402853,0.9669050952191847
rank-weighted momentum 60d,-0.33065349160601126,-0.3602988416236489,-0.11629143604922998,0.2664751974145826,-0.5872541751793414,-0.04558735696780195,-0.06152175998732798,-0.6285633845466158,-1.1934341964436725,0.5600176677146204
