target_vol,short,vol_lb,sharpe,ret,maxdd,calmar,oos_ret
0.3,0.0,20,0.4151280774715447,0.16815398854141006,-0.21657086384904,0.2832112104050506,-0.14133501423870687
0.3,0.0,30,0.5979203024622114,0.27262698699573895,-0.2355027416613268,0.41074816986782287,-0.14829142453084454
0.3,0.0,45,0.5624214014560867,0.25053336157767614,-0.23053357638399785,0.3877984432434487,-0.15656210094379475
0.3,0.25,20,0.42110460621129275,0.17476982752053738,-0.1965905636413815,0.32368520281323343,-0.0949254120962606
0.3,0.25,30,0.5446030193631363,0.24667567504093868,-0.19801985420848478,0.44496656621587427,-0.09806991429807654
0.3,0.25,45,0.4835208211846145,0.20966223880188073,-0.19779946848797592,0.3823261359425748,-0.11803479861942168
0.3,0.5,20,0.4733314678251196,0.20931686654370352,-0.1905008420638975,0.3963566491630585,-0.04629465236844288
0.3,0.5,30,0.65965064319641,0.32496040087009814,-0.16443301996506265,0.6920224669601981,-0.04143341220708363
0.3,0.5,45,0.6012058494620974,0.2886014698661665,-0.1756418051933475,0.5806399967587975,-0.06048017503176817
0.35,0.0,20,0.5194761823457422,0.25636016837481534,-0.2523875563158787,0.36191124093601873,-0.1544226746209474
0.35,0.0,30,0.654560852597381,0.34643321503128766,-0.23519386690589927,0.5130680109075767,-0.1377581719076998
0.35,0.0,45,0.5452988627679929,0.2636249845216432,-0.22197634814519462,0.4223628611572746,-0.1363348669575024
0.35,0.25,20,0.4511887000474307,0.21350045022979947,-0.22671713981729424,0.3393205227849055,-0.11710438315267924
0.35,0.25,30,0.5844015459665868,0.30242721943875495,-0.20776182997414538,0.5125973459905836,-0.0983714454203084
0.35,0.25,45,0.475591048001185,0.222325442235632,-0.20526526015567603,0.38936283624650475,-0.09688312469268612
0.35,0.5,20,0.5994646705022435,0.32892324721990374,-0.21506493994422304,0.535029297816735,-0.023519452001993568
0.35,0.5,30,0.6611899658266297,0.3710689840228256,-0.18853274975196477,0.6814729991086799,-0.02191928178258251
0.35,0.5,45,0.581441187727068,0.3039949911969455,-0.20526526015567603,0.5213161850776937,-0.036541463366549065
0.4,0.0,20,0.6076819746671528,0.3376320800104806,-0.2529750461886966,0.46589232723079144,-0.1497185863030862
0.4,0.0,30,0.6551396863595461,0.3843785515646172,-0.24845108888724088,0.533960715632774,-0.1540786877312701
0.4,0.0,45,0.6945427147641439,0.41674357066602097,-0.2575737436159453,0.5541435868510854,-0.16161235456066958
0.4,0.25,20,0.5448734761337454,0.2939143351852658,-0.2270281736260641,0.4568710267538048,-0.11087712445975995
0.4,0.25,30,0.593292527176585,0.33913326285518974,-0.22149456148302504,0.5342770292795306,-0.11543747331709642
0.4,0.25,45,0.6317937050130544,0.37043977848740184,-0.23094425659738527,0.555465654612089,-0.12331507932713459
0.4,0.5,20,0.6042135584243101,0.3509467843354508,-0.23837532663060168,0.5122501902049916,-0.04166966761584068
0.4,0.5,30,0.5642669209591717,0.32746420244647645,-0.2296656942897214,0.4989730707452597,-0.07035995141566231
0.4,0.5,45,0.5768877331241977,0.3387470282013618,-0.22458550727021798,0.5263737122482689,-0.07908748144631017
0.45,0.0,20,0.583971014365863,0.3409522609936775,-0.25929993751722025,0.458623418923611,-0.15039631304780754
0.45,0.0,30,0.7247565687927368,0.46924300610972436,-0.24498422926161367,0.6480802836598311,-0.13397579530878445
0.45,0.0,45,0.5919102680363446,0.352718444807784,-0.2707473711075876,0.4530835723150228,-0.1768233872528625
0.45,0.25,20,0.5267179086634888,0.297127576457231,-0.24352534063368914,0.43022861574105914,-0.11158532224795081
0.45,0.25,30,0.665741192387184,0.42122414213114334,-0.21790274953457278,0.6613760129748495,-0.09441559359922336
0.45,0.25,45,0.5356035477769739,0.30850879222379746,-0.24458948033783268,0.4434948311648644,-0.13921990106700832
0.45,0.5,20,0.5176897364921861,0.2987189303253721,-0.2705015934338676,0.3892416273494616,-0.0663987644340781
0.45,0.5,30,0.610565173905131,0.38551011704480387,-0.23865531238316084,0.5573629170828,-0.04403307065703477
0.45,0.5,45,0.4673547704497725,0.2593686289503925,-0.25839677159771646,0.3573653622182336,-0.10291157920317617
0.5,0.0,20,0.5648057483528501,0.333758301950551,-0.28516893101417073,0.40894401630706534,-0.18006877207134575
0.5,0.0,30,0.5987111904674233,0.3718218569866927,-0.2707349314939579,0.4754365070521452,-0.16351257094354565
0.5,0.0,45,0.5700812156773041,0.34404607941619303,-0.27594162938175715,0.43454501058599365,-0.17113289557472444
0.5,0.25,20,0.5098923766055177,0.2901690149522531,-0.25952792693316074,0.39493973061404775,-0.14261306717862088
0.5,0.25,30,0.5449242406487679,0.326987947467964,-0.24457617957480693,0.4679271046874203,-0.12530055361574577
0.5,0.25,45,0.5163485194576322,0.30011985777270933,-0.2635106795025173,0.40130051586944293,-0.13326946234725634
0.5,0.5,20,0.4404602453744608,0.23848584411242957,-0.2652961176472468,0.3217871745815849,-0.108773467185591
0.5,0.5,30,0.4796783325631085,0.27715389124926326,-0.2711259648549591,0.3622849487034554,-0.08840460283415863
0.5,0.5,45,0.45179156705368245,0.2512947352625492,-0.2897742454374487,0.3093944639707407,-0.09671014671098943
