name,sharpe,ret,cagr,vol,maxdd,calmar,expo,trades,sharpe_is,ret_is,sharpe_oos,ret_oos,dd_oos,up_cap,down_cap
long-only: VI(14),1.0643937885811376,1.1109870485907631,0.3313072998503015,0.31503633341931053,-0.256275329544954,1.29277874869413,0.5236096537250787,49,1.7842188028377517,1.3921167941833166,-0.3614921079003861,-0.11752341954044687,-0.24273119224266027,0.5143190252650022,0.44750973061573596
long-only: VI(30),0.7344004397200643,0.6186647803159655,0.20256156361910826,0.3206511164061739,-0.3353477396950263,0.6040343787714891,0.5288562434417629,41,1.3395840166117705,0.904437614099387,-0.5096386082893956,-0.1500562852086731,-0.2751979738532291,0.5108366631015223,0.47619314538183516
long-only: price>SMA100,0.11120882119671796,-0.012885255111387717,-0.004954820987539077,0.26221699954233657,-0.33598691328541397,-0.014747065411235404,0.440713536201469,21,0.4101955382375361,0.12670370866312552,-0.5714091697766868,-0.1238914567345677,-0.2392383114284553,0.3660178437565933,0.3865611048604539
long-only: EMA50>EMA200,0.4050309024486669,0.22920785562907642,0.08224750761608557,0.3224237891277737,-0.28099031808766717,0.29270584188037707,0.49422875131164745,2,0.8079443887420964,0.42908162116866877,-0.5475987510462296,-0.13986168639978647,-0.26092494315109027,0.4824827357617826,0.4796091435644056
long-only: Donchian50 mid,0.37738165904388304,0.20001883798467035,0.07233161803313637,0.31818619100496587,-0.33514444279122,0.2158222211018302,0.5068205666316894,27,0.7909734013905031,0.4114497771589847,-0.6207477889408031,-0.14979699780738243,-0.27497686270135,0.47294649960826235,0.4727082383010607
long-only: ROC(60)>0,0.246602793369479,0.07944791317819289,0.02971320587419446,0.2985880981376032,-0.36546294136416546,0.08130292434927552,0.46589716684155297,26,0.6534809226057027,0.28463488102744994,-0.6145373755093846,-0.15972395805191697,-0.27035317090274524,0.4306650642373968,0.44205550172990066
ensemble raw (0..1),0.5977270207760754,0.37472932773210044,0.12963289811638945,0.2600786149127914,-0.25997632453561637,0.49863347498256494,0.8363064008394544,20,1.1472351013332596,0.5841210107052197,-0.6465835654852783,-0.1321816209482034,-0.24683178103588888,0.4631272593211992,0.45058399648144093
ensemble step 1/3,0.5392680679260367,0.3342204517867893,0.11676629920552295,0.27369598999464706,-0.3046092882799466,0.38333138120926447,0.6747114375655824,32,1.0437328423185808,0.5339344518532074,-0.5750327282993544,-0.1301972192000349,-0.2484521785203625,0.46435142538149293,0.45446359813184856
ensemble >=1/2 binary,0.5877176467844087,0.43625934819197454,0.14873632280178506,0.3249891581857341,-0.31727887094546003,0.4687873552958801,0.5372507869884575,31,1.1984889960768448,0.7923394159676864,-0.8196832675437288,-0.198667766051144,-0.3041697080894189,0.51578461858041,0.49600643728033966
ensemble >=2/3 binary,0.5713038080363966,0.37625791706948974,0.13011380612859202,0.2843053156420595,-0.2574735671878282,0.5053482093316142,0.42707240293809023,26,0.9728238030534914,0.5129328513084708,-0.40583819010598887,-0.09033773978850357,-0.2160209804480704,0.4003743844023078,0.38041879855500976
B&H + vol target 30% (cap 1x),0.40285735466481193,0.2162066975638146,0.07784899183448646,0.2913715565879016,-0.4589225497054563,0.1696342702803581,0.968520461699895,1,1.5733971360370824,0.8542716091220939,-1.1391615329019729,-0.34410542038141345,-0.45892254970545643,0.6030018273219456,0.6143075639598062
B&H + vol target 40% (cap 1x),0.5793769522275769,0.4664679022273297,0.157930692371252,0.37240648740613,-0.493764389619359,0.3198503085510078,0.968520461699895,1,1.662682687650005,1.3191975553341426,-0.9668028716408203,-0.3676830596623998,-0.4937643896193594,0.7853501296865171,0.7796337694034942
B&H + vol target 50% (cap 1x),0.5756995112490249,0.49776938131902293,0.16733524764795282,0.42557527084060565,-0.5307752558293316,0.3152657284041868,0.968520461699895,1,1.596493318928067,1.5139350403575644,-0.9887266215844873,-0.40421317286464553,-0.5307752558293319,0.8922460729331746,0.8857933788547208
ensemble + vol target 30%,0.5601028784664511,0.24130093002577913,0.08631310915393864,0.1750605547437148,-0.237187556833803,0.363902349288998,0.727177334732424,32,1.3494508389705586,0.42648932853758703,-0.7326651930023055,-0.12982108930436975,-0.23718755683380355,0.29603977955841015,0.2884504695283596
ensemble + vol target 40%,0.7765234222798831,0.4655846362156384,0.15766352574732156,0.2192925524995231,-0.21086254039604913,0.7477076082418083,0.8100734522560336,22,1.3886846222745157,0.6105965544816734,-0.42899732243802147,-0.09003615328899162,-0.21086254039604813,0.3932658830733213,0.37017202047564624
ensemble + vol target 50%,0.6867631389365854,0.4288912372136193,0.146475678193964,0.2409828871356094,-0.23334389801021427,0.6277244849469013,0.8352570828961176,20,1.2746164502498054,0.616319072793009,-0.5685891325979027,-0.11595967574366894,-0.23334389801021171,0.4340800723161478,0.4158901135894329
"ensemble + vol tgt, short size 0.00",0.7765234222798831,0.4655846362156384,0.15766352574732156,0.2192925524995231,-0.21086254039604913,0.7477076082418083,0.8100734522560336,22,1.3886846222745157,0.6105965544816734,-0.42899732243802147,-0.09003615328899162,-0.21086254039604813,0.3932658830733213,0.37017202047564624
"ensemble + vol tgt, short size 0.25",0.7525662366247285,0.4519681120583112,0.15353222388380727,0.2224446914119781,-0.20017537476040037,0.7669885672379905,0.9160545645330536,37,1.3271026943358073,0.5743120834226823,-0.32827062003373497,-0.07771265472242483,-0.2001753747603986,0.36906778441815324,0.3449257216501636
"ensemble + vol tgt, short size 0.50",0.7314208751908661,0.44842005926516015,0.15245180941251113,0.22988308851100925,-0.21492465144046757,0.7093267728515501,0.9160545645330536,37,1.2636775786448469,0.5386119995990388,-0.18058536888935744,-0.05861902829132959,-0.192228699142027,0.3513491924059231,0.32551426333865713
"ensemble + vol tgt, short size 1.00",0.6765029531462459,0.45427988612319914,0.15423530400073404,0.2625242557660039,-0.25047405995399175,0.615773561657701,0.9160545645330536,37,1.132604624198046,0.46894130287175795,0.10202600983854139,-0.009980941185257719,-0.20048451909036435,0.3014154017905453,0.2684107485007718
  (unconfirmed bear) short size 0.50,0.6504393559130333,0.38406262168203553,0.13256411393808487,0.23275404633135588,-0.24980779008507092,0.5306644516287533,0.9433368310598111,41,1.127619339226406,0.47024707666426413,-0.18058536888935744,-0.05861902829132959,-0.192228699142027,0.33524300504564586,0.3135311590188114
  (unconfirmed bear) short size 1.00,0.5882804822487424,0.3822659753876625,0.1320008089309732,0.27405455968410986,-0.28870243890577296,0.45722096921410416,0.9433368310598111,41,0.9451762668256515,0.3962013792366008,0.10202600983854139,-0.009980941185257719,-0.20048451909036435,0.2690601852533856,0.23872509527950705
