open_time,oos,ins
2023-01-01,0.0,0.0
2023-01-02,0.0,0.0
2023-01-03,0.002135661405650437,0.013313794393459045
2023-01-04,0.02531834224141391,0.03754525802858813
2023-01-05,-0.008403104589334439,-0.011137321294658234
2023-01-06,0.020269501333729678,0.030938247447790796
2023-01-07,0.003209426858826255,-0.0043559940622024795
2023-01-08,0.04762642914882534,0.07103828829409246
2023-01-09,0.032185052665801586,0.04851255186329014
2023-01-10,0.020222113338265076,0.02219243227874577
2023-01-11,0.014822079289530443,0.010064601875144605
2023-01-12,0.029095570448984413,0.05393863839328763
2023-01-13,0.0582378093772301,0.05672060872909231
2023-01-14,0.060043218636427184,0.07798408331916237
2023-01-15,0.011913008299724291,0.0003581152692985995
2023-01-16,-0.005179374231296952,-0.003664128190659068
2023-01-17,-0.0007773208585823823,-0.022538968360613865
2023-01-18,-0.06386747314238994,-0.02799694386939084
2023-01-19,0.031136033014351912,0.025335216798398716
2023-01-20,0.08120311855602966,0.11262654872085255
2023-01-21,-0.007774414578007518,-0.004311342975655059
2023-01-22,0.02972447477008047,0.00911437649051349
2023-01-23,0.02654497436140737,0.018595735089477834
2023-01-24,-0.044830007730856304,-0.053840791541347216
2023-01-25,0.04547706988620037,0.10206595853912916
2023-01-26,0.01590533440761005,-0.0003784807976364348
2023-01-27,0.02518264460475828,0.009482697396347295
2023-01-28,-0.02013630802102448,-0.004073916809222023
2023-01-29,0.023532358602993013,0.013918845229915797
2023-01-30,-0.05498733545721588,-0.020483739945849316
2023-01-31,0.013822876017746125,0.024752449970626932
2023-02-01,0.020944545098730966,0.01165973188368309
2023-02-02,-0.004611668470626418,-0.011713248568358365
2023-02-03,0.012736554712184362,0.029205722634455082
2023-02-04,-0.001444007685119811,-0.0030107294904505645
2023-02-05,-0.011897852044255754,0.018062124650273848
2023-02-06,-0.003343561510695782,-0.010550035960274371
2023-02-07,0.031783065666365365,0.03527177189811537
2023-02-08,-0.01525780587860661,-0.028038278846900567
2023-02-09,-0.054632281787423485,-0.05340966210669496
2023-02-10,0.0006405425975302447,-0.004528298484547102
2023-02-11,0.004597945400627673,-0.0010027082839301265
2023-02-12,-0.0031190873445370473,-0.0037578955784760464
2023-02-13,-0.006348431159755154,-0.0026165954952691952
2023-02-14,0.00817655048566161,0.014479598893499313
2023-02-15,0.009857205924397285,0.00386654882898807
2023-02-16,-0.009414370316297997,-0.0182549075808369
2023-02-17,0.004493579728942995,0.019887127561687368
2023-02-18,0.00020596507606796634,0.004117394902537668
2023-02-19,0.004177072822115215,-0.009792689987888287
2023-02-20,0.02992981678232989,0.007476830819928016
2023-02-21,-0.022931061048989173,-0.011474896861869466
