symbol,sharpe,bench,edge,expo
APTUSDT,0.7544925954749211,-0.016368873001230938,0.770861468476152,0.010344392582313611
FETUSDT,1.1764732965090603,0.4592609509594745,0.7172123455495858,0.021330949035636735
WLDUSDT,0.7405970170602261,0.13947523393416286,0.6011217831260632,0.016273514481934905
1000FLOKIUSDT,1.0149724427588342,0.4150208858322335,0.5999515569266007,0.022869892623065123
RENDERUSDT,0.33034816568341574,-0.2200039594723012,0.550352125155717,0.015364061456245824
TAOUSDT,0.5007215646408895,0.07070735353493741,0.43001421110595206,0.020495803240288893
SEIUSDT,0.3999855734875459,0.04029782067330098,0.3596877528142449,0.014640841848406283
OPUSDT,0.19159645511091944,-0.1096559034435207,0.30125235855444016,0.014255077582944368
XRPUSDT,0.9411131182676751,0.7637697972648951,0.17734332100277994,0.024221016778100166
DOGEUSDT,0.5901455717233185,0.4308882477905708,0.15925732393274772,0.02031033177746941
WIFUSDT,0.4607254476398429,0.4554966272293342,0.0052288204105087055,0.0152753108348135
SUIUSDT,0.3184287784537429,0.31777868038153273,0.0006500980722101701,0.019752399499234942
BTCUSDT,1.0058576416111302,1.044189910122909,-0.038332268511778844,0.04341241797072186
1000PEPEUSDT,0.47486961431445557,0.5627792549499276,-0.08790964063547207,0.021039431517347083
ENAUSDT,-0.08247814060865853,0.03358458013496354,-0.11606272074362207,0.015057915057915058
ARBUSDT,-0.6000769194353552,-0.4226830952700142,-0.17739382416534105,0.017482517482517484
1000SHIBUSDT,-0.010435443398141642,0.24193039145212605,-0.2523658348502677,0.010848997098524032
TIAUSDT,-0.3372334955187248,0.021795984838730353,-0.35902948035745513,0.012289038177945273
LDOUSDT,-0.23687008353851516,0.2559867350788822,-0.4928568186173974,0.012615112905260501
HYPEUSDT,0.30491065468439577,0.9459788843820655,-0.6410682296976697,0.026893939393939394
1000BONKUSDT,-0.13827660664252547,0.5196346138636948,-0.6579112205062203,0.017749497655726726
DYDXUSDT,-0.8925723384768584,-0.04488489508868165,-0.8476874433881767,0.018670367099785545
ETHUSDT,-0.3600221345171914,0.5114317680660904,-0.8714539025832817,0.036092882382635035
PENDLEUSDT,-0.19866521935568304,0.7344117066973183,-0.9330769260530013,0.021117268234236933
SOLUSDT,-0.22683453594932734,1.0786438244560068,-1.3054783604053342,0.0367238768298839
BNBUSDT,-0.5759439217806603,0.7427976779926488,-1.3187415997733092,0.0306663301362948
