tf,name,n,ann_factor,total_return,cagr,ann_vol,sharpe,sortino,max_dd,calmar,hit_rate,exposure,turnover_ann,trades,profit_factor,avg_win,avg_loss,t_stat
1d,VI(14) long/short,953,365.0,1.1739306043066775,0.3463731680933182,0.46590835595525315,0.870767317786682,1.3000370291722276,-0.3388415279910427,1.0222276181639536,0.35714285714285715,0.9842602308499475,74.68520461699894,98,1.6831440732092724,0.07862006793861061,-0.02595013476069775,1.4070260513057058
1d,VI(14) long only,953,365.0,1.1109870485907631,0.3313072998503015,0.31503633341931053,1.0643937885811376,1.2988607844900069,-0.256275329544954,1.29277874869413,0.3877551020408163,0.5236096537250787,37.1511017838405,49,2.358655094759078,0.09354870231575943,-0.02511919254251941,1.7198966460848764
1d,VI(21) long/short,953,365.0,-0.06312532938191329,-0.024664607816450412,0.4650637259495498,0.17835093982742192,0.26056793413919904,-0.48474398029979615,-0.05088172069964906,0.2894736842105263,0.9769150052465897,57.833158447009446,76,1.1541040057608791,0.10436456627130525,-0.03684147802758826,0.2881876862924644
1d,VI(21) long only,953,365.0,0.43953698070642067,0.14973964917128524,0.31064266691843206,0.6030324781166587,0.6985620351555006,-0.33177285238849763,0.45133183168327434,0.2894736842105263,0.5005246589716684,28.72507869884575,38,1.7775637005971654,0.13774310020595978,-0.031569928731283343,0.9744077311608924
1d,VI(34) long/short,953,365.0,0.5078101645866095,0.17032628846599218,0.4634437215621766,0.5706904187711522,0.8250455676883982,-0.4296936347042304,0.39639006657204107,0.3870967741935484,0.9632738719832109,47.10912906610703,62,1.4636927525120285,0.0966190897492668,-0.04169084180734539,0.922147937847025
1d,VI(34) long only,953,365.0,0.745851278306852,0.23790987922109452,0.31858841277186,0.8278643358423439,0.9866424802254354,-0.3398585209643876,0.7000262301677707,0.41935483870967744,0.5424973767051416,23.36306400839454,31,2.1052189046344325,0.12135867481040277,-0.04163364276017321,1.337701431466023
1d,VI(14) band .04 L/S,953,365.0,0.3594653645164978,0.12481251659319326,0.46657203919512047,0.48491401111022364,0.7088440757766125,-0.41121006151182105,0.303524957862942,0.3064516129032258,0.9832109129066107,47.10912906610703,62,1.3799538019576667,0.11825285059587666,-0.037864499153155595,0.7835464564856046
1d,VI(14) proportional,953,365.0,0.5461503244548436,0.1816357060341529,0.408914567500781,0.6120591169720773,0.8500331461793795,-0.34778680592828504,0.5222616353985748,0.2857142857142857,0.9842602308499475,66.90205841990077,98,1.5120990833488317,0.07284763304268367,-0.019270597765683104,0.9889933911482067
1d,VI(14) + ER>0.3,953,365.0,0.2769319295669379,0.09815175089686723,0.30394834668322784,0.4599080823859059,0.3795614379318751,-0.3919282160421965,0.2504329795084206,0.2962962962962963,0.30220356768100737,41.36411332633788,54,1.4697853050038372,0.0888138974093465,-0.025442712685775814,0.7431407218725518
1d,VI(14) contrarian,953,365.0,-0.011889200609463413,-0.004570385840085955,0.21290550763692495,0.08589415200431033,0.05106861169211984,-0.3747882572929041,-0.012194581209928657,0.6666666666666666,0.18677859391395593,27.576075550891918,36,1.1286159831634823,0.029904391580347744,-0.05299303222080284,0.13879173810986278
1d,EMA 20/50 L/S,953,365.0,-0.1607387731946347,-0.06491189553856958,0.46110206010215005,0.08492273409232794,0.11921543910741964,-0.6052552376811304,-0.10724714384506892,0.3333333333333333,0.9475341028331584,13.405036726128017,18,1.019723870876988,0.17713521162869147,-0.08685449889309287,0.13722207617958
1d,EMA 20/50 long only,953,365.0,0.18001310889782962,0.06544916182103155,0.31481189573084484,0.35763478947880467,0.3959678456891227,-0.40714760734382993,0.16075045177844,0.3333333333333333,0.4931794333683106,6.8940188877229795,9,1.6742701463295653,0.26085726275034465,-0.07790178404668191,0.5778828113679648
1d,EMA 50/200 long only,953,365.0,0.22920785562907642,0.08224750761608557,0.3224237891277737,0.4050309024486669,0.4456508893796273,-0.28099031808766717,0.29270584188037707,0.5,0.49422875131164745,1.5320041972717733,2,2.9524733168322497,0.4550981287869045,-0.1541413181255049,0.6544676398485869
1d,Donchian 20/10 L/S,953,365.0,-0.46521107140479023,-0.2131470507810277,0.45406748482238957,-0.3008062480309123,-0.4253284328587425,-0.7181534588146898,-0.29679875264101113,0.25,0.9485834207764953,36.385099685204615,48,0.8557885297593596,0.142855690431655,-0.055642909225025794,-0.48605662928509674
1d,Donchian 55/20 L/S,953,365.0,-0.31819175274530687,-0.136440100149001,0.45547902449693467,-0.09392858718945607,-0.12565830891814478,-0.5061381726809784,-0.2695708553778652,0.34285714285714286,0.9118572927597062,26.42707240293809,35,0.7550792866540823,0.06719207287825647,-0.04642788419075294,-0.15177414957859067
1d,TSMOM(30) L/S,953,365.0,-0.254433861262257,-0.10636108743051387,0.464563657037936,-0.009853661822074831,-0.01393177597400306,-0.5798397139811862,-0.18343187757912857,0.2916666666666667,0.9674711437565582,73.15320041972717,96,1.013043062686738,0.08021540579591495,-0.03260460901552247,-0.015922001895588123
1d,price > SMA100 (long),953,365.0,-0.012885255111387717,-0.004954820987539077,0.26221699954233657,0.11120882119671796,0.11891252430706664,-0.33598691328541397,-0.014747065411235404,0.09523809523809523,0.440713536201469,16.08604407135362,21,1.2501814913302873,0.35404375544563604,-0.029809882796668085,0.17969634983144003
1d,"z-revert(24, 2.0)",953,365.0,-0.49004628507464276,-0.22734792698208528,0.34013674727584337,-0.5871696789399903,-0.534456193607972,-0.5465404631557562,-0.41597638657779373,0.6129032258064516,0.43966421825813223,23.746065057712485,31,0.645733311706732,0.04508578247722668,-0.11055000719558618,-0.9487758875761624
1d,RSI revert(14),953,365.0,-0.42581540781848326,-0.19143212067382898,0.26270677337893866,-0.6762790542417596,-0.4163906807516379,-0.4678756801640144,-0.4091516802213832,0.5333333333333333,0.20461699895068206,11.4900314795383,15,0.49303957978533214,0.05089663841058084,-0.11797751973639826,-1.0927629319956242
