周期,规则,笔数,胜率,期望R,总R,止损宽度,空头占比,随机对照,超出对照,p
1d,A 密集突破,64,0.421875,0.4396291643640481,28.136266519299078,0.10850236827591528,0.5625,-0.009784759279107599,0.4494139236431557,0.04
1d,B 回踩20均线,45,0.37777777777777777,0.4600984698247537,20.70443114211392,0.033025985878960586,0.5111111111111111,-0.03311561231686269,0.49321408214161644,0.04
4h,A 密集突破,463,0.3002159827213823,0.03679025954442242,17.033890169067583,0.038393416114993646,0.4794816414686825,0.005293035661529786,0.03149722388289264,0.31
4h,B 回踩20均线,254,0.2952755905511811,0.07304244555366386,18.55278117063062,0.014302944957210916,0.5433070866141733,-0.09436388812398393,0.1674063336776478,0.06
1h,A 密集突破,1823,0.2797586396050466,-0.05603433006828603,-102.15058371448544,0.017499431214223298,0.4821722435545804,-0.05866935900805097,0.002635028939764937,0.45
1h,B 回踩20均线,643,0.27216174183514774,-0.06893934711878674,-44.32800019737988,0.008640217505820941,0.4867807153965785,-0.12668371129465716,0.05774436417587042,0.19
