entry_time,exit_time,bars,side,entry_px,exit_px,avg_size,pnl
2023-01-16 04:00:00,2023-01-16 12:00:00,2,short,21084.3,20821.8,0.75,0.012516166932241779
2023-01-21 04:00:00,2023-01-23 12:00:00,14,short,22541.8,22906.4,0.9642857142857143,-0.015504579238122429
2023-02-02 04:00:00,2023-02-02 16:00:00,3,short,23852.1,23843.4,0.8333333333333334,-0.001656645063093265
2023-03-18 04:00:00,2023-03-19 16:00:00,9,short,27293.4,27533.7,0.9444444444444444,-0.009061860229043983
2023-03-30 08:00:00,2023-03-30 16:00:00,2,short,28706.5,28282.8,0.5,0.007077129269173366
2023-04-12 04:00:00,2023-04-13 08:00:00,7,short,29914.8,30054.0,0.9285714285714286,-0.004283035554753178
2023-06-23 04:00:00,2023-06-23 16:00:00,3,short,30002.4,31232.9,0.8333333333333334,-0.04257276396604914
2023-06-23 20:00:00,2023-06-24 04:00:00,2,short,30873.7,30719.5,0.5,0.002165221417021801
2023-07-03 00:00:00,2023-07-03 08:00:00,2,short,30612.7,30662.9,0.5,-0.0011545451288548225
2023-08-18 04:00:00,2023-08-19 04:00:00,6,long,26386.0,25958.6,0.9166666666666666,-0.017353769913512118
2023-10-25 04:00:00,2023-10-26 12:00:00,8,short,34003.7,34104.1,0.5,-0.0021232274121977257
2023-10-30 04:00:00,2023-10-30 08:00:00,1,short,34276.6,34191.8,0.5,0.0009119955013039416
2023-11-02 04:00:00,2023-11-02 08:00:00,1,short,35577.9,35280.6,0.5,0.003853155540377573
2023-11-12 04:00:00,2023-11-12 08:00:00,1,short,37016.4,37154.1,0.5,-0.0021849863844133344
2023-12-04 04:00:00,2023-12-07 12:00:00,20,short,40720.6,43206.4,0.975,-0.05192135290361999
2024-02-08 04:00:00,2024-02-12 00:00:00,23,short,44523.5,48303.4,0.9782608695652174,-0.08059682379833266
2024-02-12 20:00:00,2024-02-13 16:00:00,5,short,49545.9,48753.2,0.5,0.007496254925406953
2024-02-14 16:00:00,2024-02-15 08:00:00,4,short,51616.5,51802.5,0.875,-0.0036040369081821177
2024-02-16 00:00:00,2024-02-16 20:00:00,5,short,51898.4,51780.2,0.9,0.005346757474247621
2024-02-26 20:00:00,2024-02-27 04:00:00,2,short,54531.2,55773.1,0.75,-0.02360775907822188
2024-02-28 04:00:00,2024-02-29 20:00:00,10,short,56963.3,61681.7,0.95,-0.06907654987137413
2024-03-04 16:00:00,2024-03-05 08:00:00,4,short,66505.4,66223.8,0.875,0.009862003865636293
2024-03-05 12:00:00,2024-03-05 20:00:00,2,short,66749.1,61497.3,0.5,0.03892040988378276
2024-03-08 04:00:00,2024-03-08 20:00:00,4,short,67220.0,68921.9,0.875,-0.02507470613853835
2024-03-11 12:00:00,2024-03-12 08:00:00,5,short,71558.6,72175.6,0.5,-0.004662425644093915
2024-03-13 12:00:00,2024-03-13 16:00:00,1,short,73149.8,72670.2,0.5,0.002953204451686897
2024-05-17 04:00:00,2024-05-18 04:00:00,6,short,65545.1,66919.0,0.9166666666666666,-0.015460791962738973
2024-05-22 04:00:00,2024-05-22 20:00:00,4,short,70001.9,69668.0,0.5,0.001973629272723265
2024-05-26 08:00:00,2024-05-26 12:00:00,1,short,69359.2,69160.3,0.5,0.0011088400673595622
2024-05-26 16:00:00,2024-05-27 00:00:00,2,short,68864.7,68524.4,0.5,0.002140987907433889
2024-07-20 12:00:00,2024-07-20 16:00:00,1,short,66446.0,66797.0,0.5,-0.0029662425127171543
2024-07-21 00:00:00,2024-07-22 04:00:00,7,short,67095.6,67847.3,0.9285714285714286,-0.01157914615045752
2024-07-27 08:00:00,2024-07-28 08:00:00,6,short,68013.5,67517.6,0.9166666666666666,0.007724002354182247
2024-09-20 04:00:00,2024-09-20 16:00:00,3,short,63723.2,63120.2,0.8333333333333334,0.007057559208234032
2024-09-20 20:00:00,2024-09-21 12:00:00,4,short,62772.0,63058.0,0.75,-0.004481897113702948
2024-09-28 00:00:00,2024-09-29 00:00:00,6,short,65749.5,65822.7,0.9166666666666666,0.000415006302935339
2024-10-16 04:00:00,2024-10-17 04:00:00,6,short,67064.5,67570.1,0.9166666666666666,-0.009184630762347545
2024-10-28 04:00:00,2024-10-28 20:00:00,4,short,67698.1,69650.0,0.875,-0.024043287625249876
2024-10-29 00:00:00,2024-10-31 16:00:00,16,short,69939.9,70638.6,0.96875,-0.004476122361324109
2024-11-08 04:00:00,2024-11-08 16:00:00,3,short,75900.4,76423.3,0.8333333333333334,-0.005770811378145613
2024-11-08 20:00:00,2024-11-09 04:00:00,2,short,76894.4,76330.1,0.5,0.0033519902169221183
2024-11-10 12:00:00,2024-11-11 00:00:00,3,short,79926.7,80409.9,0.8333333333333334,-0.00790828073906924
2024-11-11 04:00:00,2024-11-13 16:00:00,15,short,81662.3,92608.0,0.9333333333333333,-0.12189518707024727
2024-11-13 20:00:00,2024-11-14 00:00:00,1,short,90218.8,90413.3,0.5,-0.0014029349758587495
2024-11-21 00:00:00,2024-11-23 16:00:00,16,short,94288.0,98426.1,0.9375,-0.02995076465329627
2024-11-29 04:00:00,2024-11-29 20:00:00,4,short,96646.5,97380.0,0.875,-0.013529000817480319
2024-11-30 00:00:00,2024-11-30 04:00:00,1,short,97516.2,96708.1,0.5,0.0038184141199102406
2025-03-25 08:00:00,2025-03-26 00:00:00,4,short,86404.5,87369.9,0.5,-0.0059427293784198865
2025-04-22 08:00:00,2025-04-25 04:00:00,17,short,88434.9,93262.9,0.9117647058823529,-0.03806446558148979
2025-05-03 00:00:00,2025-05-03 08:00:00,2,short,96831.2,96290.8,0.5,0.0024654771002801112
2025-05-07 12:00:00,2025-05-07 16:00:00,1,short,97000.0,96889.0,0.5,0.0002471649484536709
2025-05-10 04:00:00,2025-05-11 04:00:00,6,short,103179.3,103947.8,0.9166666666666666,-0.005778101441009986
2025-05-21 16:00:00,2025-05-21 20:00:00,1,short,108936.6,108547.2,0.5,0.001462278104879422
2025-05-22 00:00:00,2025-05-22 04:00:00,1,short,109609.6,111755.9,0.5,-0.01011565702274253
2025-05-22 08:00:00,2025-05-22 12:00:00,1,short,111005.8,110944.0,0.5,-4.6636166758817765e-05
2025-05-22 16:00:00,2025-05-23 12:00:00,5,short,111251.0,109033.2,0.8,0.021285429779843712
2025-07-12 04:00:00,2025-07-13 16:00:00,9,short,117730.0,118610.6,0.9444444444444444,-0.008326679406387871
2025-07-14 08:00:00,2025-07-14 16:00:00,2,short,122731.0,119863.1,0.75,0.0177962890490051
2025-09-13 04:00:00,2025-09-13 08:00:00,1,short,115913.6,115715.5,0.5,0.0005295157772686743
2025-09-14 00:00:00,2025-09-14 04:00:00,1,short,115862.7,115626.0,0.5,0.0006964676509351175
2025-10-05 08:00:00,2025-10-05 12:00:00,1,short,124692.5,123413.3,0.5,0.0048044183691882125
2026-01-15 04:00:00,2026-01-15 20:00:00,4,short,95943.1,95469.2,0.875,0.007559451989159971
2026-02-06 04:00:00,2026-02-06 16:00:00,3,long,64138.1,68577.5,0.5,0.033915462217898984
2026-02-22 00:00:00,2026-02-22 04:00:00,1,short,67933.2,68010.5,0.5,-0.0008939412540555081
2026-03-17 04:00:00,2026-03-17 12:00:00,2,short,74424.9,73997.1,0.5,0.0025547781538974856
2026-04-12 00:00:00,2026-04-12 04:00:00,1,short,73013.4,71563.6,0.5,0.009603314528565887
2026-04-15 04:00:00,2026-04-15 16:00:00,3,short,74296.8,73797.5,0.5,0.0030057500837876727
2026-04-15 20:00:00,2026-04-16 04:00:00,2,short,74957.7,74851.9,0.5,0.00037906063873882623
2026-04-17 20:00:00,2026-04-18 08:00:00,3,short,77349.2,76951.0,0.5,0.0022521776180046693
